Total cost (€);T_MAX;F_MAX;N_PANEL;N_BSS;% postponed;% loss
102.4760448;5;0.2;200;10;6.838038994;16.74027462
105.6305781;20;0.2;200;10;8.362297489;16.72295478
107.2269327;20;0.4;200;10;9.700614602;18.24127177
108.0411354;5;0.4;200;10;6.347605027;16.45822001
111.649989;20;0.4;100;10;1.645517988;15.58672665
112.9368162;20;0.2;100;10;0.57464986;16.82241865
113.9418449;5;0.4;100;10;1.023827489;16.34487388
116.2955624;5;0.2;100;10;1.148251748;19.48554559
123.7636639;20;0.4;200;15;5.42255971;2.879550532
124.6169201;5;0.4;200;15;4.10675445;4.38567921
124.7474668;20;0.2;200;15;6.036742211;1.344893942
134.1962352;5;0.2;200;15;3.219981858;3.196265183
136.5202213;20;0.4;100;15;0;2.371711565
137.2828823;5;0.4;100;15;0.904882155;3.061156329
137.3349361;20;0.2;100;15;1.110365324;3.5334202
141.3337545;5;0.2;100;15;0.612244898;2.614045358
